state_fips,county_fips,tract_fips,fips,state,totalpopulation,Female,Male,<15,15–17,18–24,25–34,35–44,45–54,55–64,>65,White,Black,Hispanic,Asian,Less_Than_High_School,High_School,No_College,Bachelor,Graduate,<20K,20K–30K,30K–50K,50K–100K,>100K,ratio_poverty,ratio_high_school,ratio_uninsured,ratio_unemploy,median_income,ratio_high_rent_housing,ratio_mortgage_housing,blockgroup_fips,NAME,GEOID
45,45001,45,450019501001,sc,794,0.5264483627204031,0.473551637279597,0.0390428211586901,0.0239294710327455,0.0566750629722921,0.0680100755667506,0.1599496221662468,0.1561712846347607,0.1599496221662468,0.3866498740554156,0.8602015113350125,0.1397984886649874,0.0138539042821158,0.0,0.1816881258941344,0.4306151645207439,0.6123032904148784,0.0543633762517882,0.0228898426323319,0.1388174807197943,0.1105398457583547,0.3393316195372751,0.3059125964010283,0.1053984575835475,0.0566750629722921,0.3876967095851216,0.0831234256926952,0.019659239842726,42330.0,0.4642857142857143,0.0360110803324099,450019501001,Abbeville,45001
45,45001,45,450019501002,sc,976,0.5307377049180327,0.4692622950819672,0.1639344262295081,0.0122950819672131,0.0245901639344262,0.0881147540983606,0.1096311475409836,0.1301229508196721,0.1014344262295082,0.4405737704918033,0.7920081967213115,0.1301229508196721,0.0,0.0,0.1628205128205128,0.2769230769230769,0.4397435897435897,0.0897435897435897,0.1051282051282051,0.2142857142857142,0.0783410138248847,0.3456221198156682,0.216589861751152,0.1451612903225806,0.0788934426229508,0.2166666666666666,0.0983606557377049,0.0024509803921568,41667.0,0.3277777777777778,0.1338582677165354,450019501002,Abbeville,45001
45,45001,45,450019501003,sc,1211,0.541701073492981,0.458298926507019,0.2725020644095788,0.0222956234516928,0.1048720066061106,0.1015689512799339,0.1048720066061106,0.0751445086705202,0.1048720066061106,0.1742361684558216,0.8728323699421965,0.0718414533443435,0.0189925681255161,0.0,0.0718475073313783,0.3005865102639296,0.3724340175953079,0.0586510263929618,0.1070381231671554,0.169047619047619,0.2309523809523809,0.2738095238095238,0.2238095238095238,0.1023809523809523,0.1763245033112583,0.2551319648093841,0.0627580511973575,0.0625737898465171,38681.0,0.5948275862068966,0.1480263157894736,450019501003,Abbeville,45001
45,45001,45,450019502001,sc,1238,0.4951534733441033,0.5048465266558966,0.1453957996768982,0.0945072697899838,0.0775444264943457,0.1025848142164781,0.1025848142164781,0.0411954765751211,0.1025848142164781,0.27140549273021,0.9159935379644588,0.0702746365105008,0.0282714054927302,0.0,0.1502958579881657,0.2804733727810651,0.4307692307692308,0.0899408284023668,0.0923076923076923,0.1735537190082644,0.1157024793388429,0.0805785123966942,0.5599173553719008,0.0702479338842975,0.1518578352180937,0.2213017751479289,0.197092084006462,0.0,54825.0,0.2584269662921348,0.1063291139240506,450019502001,Abbeville,45001
45,45001,45,450019502002,sc,2132,0.4573170731707317,0.5426829268292683,0.1022514071294559,0.0304878048780487,0.0595684803001876,0.0595684803001876,0.0595684803001876,0.0595684803001876,0.0595684803001876,0.174015009380863,0.7171669793621013,0.0595684803001876,0.0286116322701688,0.0361163227016885,0.0974673829623944,0.2640061396776669,0.3614735226400614,0.0974673829623944,0.1105141980046047,0.1964285714285714,0.1509740259740259,0.1801948051948051,0.3733766233766233,0.099025974025974,0.1050090525045262,0.2171910974673829,0.0797373358348968,0.0249204665959703,48851.0,0.2452830188679245,0.0568927789934354,450019502002,Abbeville,45001
45,45001,45,450019502003,sc,940,0.5159574468085106,0.4840425531914893,0.1914893617021276,0.0691489361702127,0.1351063829787234,0.0819148936170212,0.1117021276595744,0.1095744680851063,0.0851063829787234,0.2446808510638297,0.7808510638297872,0.1351063829787234,0.0276595744680851,0.002127659574468,0.2063197026022304,0.328996282527881,0.5353159851301115,0.1338289962825278,0.2007434944237918,0.1521739130434782,0.1130434782608695,0.1521739130434782,0.3391304347826087,0.2434782608695652,0.3559322033898305,0.2267657992565055,0.0574468085106383,0.013477088948787,60714.0,0.3703703703703703,0.1136363636363636,450019502003,Abbeville,45001
45,45001,45,450019503001,sc,1252,0.4888178913738019,0.5111821086261981,0.1853035143769968,0.0319488817891373,0.0391373801916932,0.0814696485623003,0.0990415335463258,0.1014376996805111,0.1014376996805111,0.3115015974440894,0.9281150159744408,0.0710862619808306,0.0095846645367412,0.0,0.1364124597207304,0.4575725026852846,0.5939849624060151,0.1063372717508055,0.1417830290010741,0.1447876447876447,0.2471042471042471,0.1428571428571428,0.2606177606177606,0.2046332046332046,0.1974420463629096,0.3447905477980666,0.084664536741214,0.0283975659229208,43056.0,0.4489795918367347,0.1476190476190476,450019503001,Abbeville,45001
45,45001,45,450019503002,sc,1490,0.5328859060402684,0.4671140939597315,0.0798657718120805,0.0228187919463087,0.0697986577181208,0.085234899328859,0.085234899328859,0.085234899328859,0.085234899328859,0.2382550335570469,1.0,0.0,0.0,0.0,0.1030008110300081,0.2392538523925385,0.3422546634225466,0.1030008110300081,0.1719383617193836,0.1612903225806451,0.1918505942275042,0.2427843803056027,0.1952461799660441,0.2088285229202037,0.1704697986577181,0.1751824817518248,0.0919463087248322,0.0351648351648351,37219.0,0.2816901408450704,0.1467181467181467,450019503002,Abbeville,45001
45,45001,45,450019503003,sc,722,0.4958448753462603,0.5041551246537396,0.1745152354570637,0.0554016620498614,0.0318559556786703,0.1412742382271468,0.1371191135734072,0.1468144044321329,0.1426592797783933,0.2880886426592798,0.9487534626038782,0.0512465373961218,0.0,0.0,0.2382739212007504,0.3302063789868668,0.5684803001876173,0.0431519699812382,0.0,0.4034482758620689,0.1586206896551724,0.2,0.1724137931034483,0.0655172413793103,0.1149584487534626,0.2701688555347092,0.1094182825484764,0.0372881355932203,27750.0,0.7272727272727273,0.1455223880597015,450019503003,Abbeville,45001
45,45001,45,450019504001,sc,990,0.4909090909090909,0.509090909090909,0.1808080808080808,0.0545454545454545,0.0575757575757575,0.1282828282828282,0.0919191919191919,0.1282828282828282,0.0888888888888888,0.2454545454545454,0.8434343434343434,0.1282828282828282,0.0212121212121212,0.0,0.1514285714285714,0.4,0.5514285714285714,0.1071428571428571,0.0514285714285714,0.0929705215419501,0.0839002267573696,0.3038548752834467,0.4013605442176871,0.1179138321995464,0.0696969696969697,0.2514285714285714,0.295959595959596,0.0,52518.0,0.1558441558441558,0.0278745644599303,450019504001,Abbeville,45001
